File:        06perms.txt
Description: CSV file of upload permission to the CPAN per namespace
    best-permission is one of "m" for "modulelist", "f" for
    "first-come", "c" for "co-maint"
Columns:     package,userid,best-permission
Line-Count:  217584
Written-By:  PAUSE version 1.14
Date:        Mon, 30 Jul 2012 14:43:22 GMT

A,ADAMK,f
A::B,CODEREPOS,c
A::B,MARCEL,f
AA,RLZWART,f
AA::GAMP,RLZWART,f
AAA::Demo,JWACH,f
AAA::eBay,JWACH,f
AAAA::Crypt::DH,BINGOS,f
AAAAAAAAA,MSCHWERN,f
AAC::Pvoice,JOUKE,f
AAC::Pvoice::Bitmap,JOUKE,f
AAC::Pvoice::Dialog,JOUKE,f
AAC::Pvoice::EditableRow,JOUKE,f
AAC::Pvoice::Input,JOUKE,f
AAC::Pvoice::Panel,JOUKE,f
AAC::Pvoice::Row,JOUKE,f
ABI,MALAY,f
AC::ConfigFile::Simple,SOLVE,f
AC::DC,SOLVE,f
AC::DC::Callback,SOLVE,f
AC::DC::Debug,SOLVE,f
AC::DC::IO,SOLVE,f
AC::DC::IO::Forked,SOLVE,f
AC::DC::IO::TCP,SOLVE,f
AC::DC::IO::TCP::Client,SOLVE,f
AC::DC::IO::TCP::Server,SOLVE,f
AC::DC::IO::UDP,SOLVE,f
AC::DC::IO::UDP::Server,SOLVE,f
AC::DC::Protocol,SOLVE,f
AC::DC::Sched,SOLVE,f
AC::Daemon,SOLVE,f
AC::Dumper,SOLVE,f
AC::ISOTime,SOLVE,f
AC::Import,SOLVE,f
AC::Misc,SOLVE,f
AC::MrGamoo,SOLVE,f
AC::MrGamoo::AC::FileList,SOLVE,f
AC::MrGamoo::AC::MySelf,SOLVE,f
AC::MrGamoo::AC::ReadInput,SOLVE,f
AC::MrGamoo::API::Chk,SOLVE,f
AC::MrGamoo::API::Client,SOLVE,f
AC::MrGamoo::API::Del,SOLVE,f
AC::MrGamoo::API::Get,SOLVE,f
AC::MrGamoo::API::HB,SOLVE,f
AC::MrGamoo::API::JobAbort,SOLVE,f
AC::MrGamoo::API::JobCreate,SOLVE,f
AC::MrGamoo::API::Put,SOLVE,f
AC::MrGamoo::API::Simple,SOLVE,f
AC::MrGamoo::API::TaskAbort,SOLVE,f
AC::MrGamoo::API::TaskCreate,SOLVE,f
AC::MrGamoo::API::TaskStatus,SOLVE,f
AC::MrGamoo::API::Xfer,SOLVE,f
AC::MrGamoo::API::XferStatus,SOLVE,f
AC::MrGamoo::About,SOLVE,f
AC::MrGamoo::Client,SOLVE,f
AC::MrGamoo::Config,SOLVE,f
AC::MrGamoo::Customize,SOLVE,f
AC::MrGamoo::D,SOLVE,f
AC::MrGamoo::Debug,SOLVE,f
AC::MrGamoo::Default::FileList,SOLVE,f
AC::MrGamoo::Default::MySelf,SOLVE,f
AC::MrGamoo::Default::ReadInput,SOLVE,f
AC::MrGamoo::EUConsole,SOLVE,f
AC::MrGamoo::FileList,SOLVE,f
AC::MrGamoo::Iter,SOLVE,f
AC::MrGamoo::Iter::Array,SOLVE,f
AC::MrGamoo::Iter::File,SOLVE,f
AC::MrGamoo::Job,SOLVE,f
AC::MrGamoo::Job::Action,SOLVE,f
AC::MrGamoo::Job::Info,SOLVE,f
AC::MrGamoo::Job::Plan,SOLVE,f
AC::MrGamoo::Job::Request,SOLVE,f
AC::MrGamoo::Job::Task,SOLVE,f
AC::MrGamoo::Job::TaskInfo,SOLVE,f
AC::MrGamoo::Job::Xfer,SOLVE,f
AC::MrGamoo::Job::XferInfo,SOLVE,f
AC::MrGamoo::Kibitz,SOLVE,f
AC::MrGamoo::Kibitz::Client,SOLVE,f
AC::MrGamoo::Kibitz::Peers,SOLVE,f
AC::MrGamoo::Kibitz::Server,SOLVE,f
AC::MrGamoo::MySelf,SOLVE,f
AC::MrGamoo::OutFile,SOLVE,f
AC::MrGamoo::PeerList,SOLVE,f
AC::MrGamoo::Protocol,SOLVE,f
AC::MrGamoo::ReadInput,SOLVE,f
AC::MrGamoo::Retry,SOLVE,f
AC::MrGamoo::Scriblr,SOLVE,f
AC::MrGamoo::Server,SOLVE,f
AC::MrGamoo::Stats,SOLVE,f
AC::MrGamoo::Submit::Compile,SOLVE,f
AC::MrGamoo::Submit::Compile::Block,SOLVE,f
AC::MrGamoo::Submit::Request,SOLVE,f
AC::MrGamoo::Submit::TieIO,SOLVE,f
AC::MrGamoo::Task,SOLVE,f
AC::MrGamoo::Task::Running,SOLVE,f
AC::MrGamoo::User,SOLVE,f
AC::MrGamoo::Xfer,SOLVE,f
AC::SHA1File,SOLVE,f
AC::Yenta,SOLVE,f
AC::Yenta::AC::MySelf,SOLVE,f
AC::Yenta::Client,SOLVE,f
AC::Yenta::Conf,SOLVE,f
AC::Yenta::Config,SOLVE,f
AC::Yenta::Crypto,SOLVE,f
AC::Yenta::Customize,SOLVE,f
AC::Yenta::D,SOLVE,f
AC::Yenta::Debug,SOLVE,f
AC::Yenta::Default::MySelf,SOLVE,f
AC::Yenta::Direct,SOLVE,f
AC::Yenta::IO::TCP::Client,SOLVE,f
AC::Yenta::Kibitz::Status,SOLVE,f
AC::Yenta::Kibitz::Status::Client,SOLVE,f
AC::Yenta::Kibitz::Status::Server,SOLVE,f
AC::Yenta::Kibitz::Store::Client,SOLVE,f
AC::Yenta::Kibitz::Store::Server,SOLVE,f
AC::Yenta::Monitor,SOLVE,f
AC::Yenta::Monitor::Client,SOLVE,f
AC::Yenta::MySelf,SOLVE,f
AC::Yenta::Protocol,SOLVE,f
AC::Yenta::Server,SOLVE,f
AC::Yenta::SixtyFour,SOLVE,f
AC::Yenta::Stats,SOLVE,f
AC::Yenta::Status,SOLVE,f
AC::Yenta::Store,SOLVE,f
AC::Yenta::Store::AE,SOLVE,f
AC::Yenta::Store::BDBI,SOLVE,f
AC::Yenta::Store::Distrib,SOLVE,f
AC::Yenta::Store::Expire,SOLVE,f
AC::Yenta::Store::File,SOLVE,f
AC::Yenta::Store::Map,SOLVE,f
AC::Yenta::Store::Merkle,SOLVE,f
AC::Yenta::Store::SQLite,SOLVE,f
AC::Yenta::Store::Sharded,SOLVE,f
ACH,CPKOIS,f
ACH::Builder,CAMERB,c
ACH::Builder,TKEEFER,f
ACH::Generator,CPKOIS,f
ACH::Parser,CPKOIS,f
ACL::Lite,HORNBURG,f
ACME::CPANPLUS::Module::With::Core::PreReq,BINGOS,f
ACME::ESP,TYEMQ,f
ACME::ESP::Scanner,TYEMQ,f
ACME::Error,CWEST,f
ACME::Error::31337,CWEST,f
ACME::Error::Coy,CWEST,f
ACME::Error::HTML,CWEST,f
ACME::Error::IgpayAtinlay,CWEST,f
ACME::Error::SHOUT,CWEST,f
ACME::Error::Translate,CWEST,f
ACME::KeyboardMarathon,BENNIE,f
ACME::MBHall,MBHALL,f
ACME::MSDN::SPUtility,BLUET,f
ACME::PIA::Export,CHRWIN,f
ACME::PM::Voronezh,SANTERI,f
ACME::QuoteDB,DVWRIGHT,f
ACME::QuoteDB::DB::Attribution,DVWRIGHT,f
ACME::QuoteDB::DB::Category,DVWRIGHT,f
ACME::QuoteDB::DB::DBI,DVWRIGHT,f
ACME::QuoteDB::DB::Quote,DVWRIGHT,f
ACME::QuoteDB::DB::QuoteCatg,DVWRIGHT,f
ACME::QuoteDB::LoadDB,DVWRIGHT,f
ACME::Require::Require,RLB,f
ACME::YAPC::NA::2012,JARICH,f
ACME::ltharris,LTHARRIS,f
ADSL_Coverage::SOAP::Webservice::HasULLSimple,JCOP,f
AE,MLEHMANN,f
AE::CS,BLUET,f
AE::Log::COLLECT,MLEHMANN,f
AE::Log::FILTER,MLEHMANN,f
AE::Log::LOG,MLEHMANN,f
AEAE,JETEVE,f
AEAE::AsyncCGIPage,JETEVE,f
AEAE::Command,JETEVE,f
AEAE::CommandErroneous,JETEVE,f
AEAE::CommandExample,JETEVE,f
AEAE::Service,JETEVE,f
AEDesc,CNANDOR,f
AEKeyDesc,CNANDOR,f
AEStream,CNANDOR,f
